"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28179-43956","QB","David","David Fales","Fales","10.199999809265137","2","6000","MIA@NYJ","MIA","NYJ","","","","",""
"28179-38837","QB","Danny","Danny Etling","Etling","0","0","6000","NE@JAC","NE","JAC","","","","",""
"28179-41966","QB","Luke","Luke Falk","Falk","0","0","6000","MIA@NYJ","MIA","NYJ","","","","",""
"28179-27776","RB","Tevin","Tevin Coleman","Coleman","11","1","5900","CAR@ATL","ATL","CAR","","","","",""
"28179-28930","RB","James","James White","White","13.600000381469727","1","5900","NE@JAC","NE","JAC","","","","",""
"28179-54606","WR","John","John Brown","Brown","12","1","5900","BAL@CIN","BAL","CIN","","","","",""
"28179-64119","RB","Chris","Chris Carson","Carson","7.400000095367432","1","5900","SEA@CHI","SEA","CHI","","","","",""
"28179-14237","TE","Kyle","Kyle Rudolph","Rudolph","7.599999904632568","1","5900","MIN@GB","MIN","GB","","","","",""
"28179-24641","WR","Sammy","Sammy Watkins","Watkins","3.5999999046325684","1","5800","KC@PIT","KC","PIT","","","","",""
"28179-62535","WR","Tyrell","Tyrell Williams","Williams","7.800000190734863","1","5800","LAC@BUF","LAC","BUF","","","","",""
"28179-33260","WR","DeVante","DeVante Parker","Parker","7.8076923076923075","13","5800","MIA@NYJ","MIA","NYJ","Q","Finger","","",""
"28179-57840","RB","Rashaad","Rashaad Penny","Penny","6.300000190734863","1","5800","SEA@CHI","SEA","CHI","","","","",""
"28179-32243","WR","Marquise","Marquise Goodwin","Goodwin","0","1","5800","DET@SF","SF","DET","Q","Quadriceps","","",""
"28179-22113","RB","Alfred","Alfred Morris","Morris","1.7999999523162842","1","5800","DET@SF","SF","DET","","","","",""
"28179-6863","TE","Delanie","Delanie Walker","Walker","7.199999809265137","1","5800","HOU@TEN","TEN","HOU","IR","Ankle","","",""
"28179-41872","TE","Evan","Evan Engram","Engram","2.799999952316284","1","5800","NYG@DAL","NYG","DAL","","","","",""
"28179-29734","RB","Ty","Ty Montgomery","Montgomery","3.799999952316284","1","5700","MIN@GB","GB","MIN","","","","",""
"28179-60910","WR","Dede","Dede Westbrook","Westbrook","7.599999904632568","1","5700","NE@JAC","JAC","NE","","","","",""
"28179-30297","TE","Trey","Trey Burton","Burton","2","1","5700","SEA@CHI","CHI","SEA","","","","",""
"28179-6759","WR","Brandon","Brandon Marshall","Marshall","12.100000381469727","1","5700","SEA@CHI","SEA","CHI","","","","",""
